252	Treecko	78CDD380 F37C9BE9
253	Grovyle	852777E5 9BAD3116
254	Sceptile	B39EF67A 61835FCF
255	Torchic	0514E417 36CB3F8D
256	Combusken	70947F66 D7A58EC7
257	Blaziken	3F24DEB0 1AB3B9CE
258	Mudkip	37F87602 4F05D116
259	Marshtomp	D5D08FE7 6237CE75
260	Swampert	F33084E2 682FAFD5
261	Poochyena	E97C5568 52CCE3BF
262	Mightyena	1D22FDAD 1DD2825F
263	Zigzagoon	00A37238 E07D0F1F
264	Linoone	3005B23A F5F2A5A4
265	Wurmple	6E9BD511 CFFDFBCD
266	Silcoon	695ADE78 37E58561
267	Beautifly	30D2952F DCB73728
268	Cascoon	59C9A3BA 3BA39820
269	Dustox	E5CDC565 723D7944
270	Lotad	3FB61895 B4012937
271	Lombre	BDDAF1C8 195BD540
272	Ludicolo	3BF8DDA5 37C16B74
273	Seedot	D69C6252 8F419815
274	Nuzleaf	77B16382 C205ED06
275	Shiftry	E71B20CE 68DD169A
276	Nincada	B1FCD027 E6438073
277	Ninjask	28BEBC0D E5BF4CEA
278	Shedinja	9FD8EF67 BCDDB0C0
279	Taillow	608E0DE6 489A01F4
280	Swellow	63C12597 231F7D36
281	Shroomish	35F465C7 AC64B1B2
282	Breloom	FAADB098 2142CC04
283	Spinda	30B3F44D 201D4C52
284	Wingull	CF36F1EB 5BF7FE6A
285	Pelipper	B3FB78C3 D027E6CC
286	Surskit	349CBFE1 EB910D70
287	Masquerain	23EDF572 358271AC
288	Wailmer	F2596AE4 BF10698D
289	Wailord	C8B4F728 21E7A36B
290	Skitty	F3DC89FD 51026F2D
291	Delcatty	7175C8A3 7DC1D1CE
292	Kecleon	99E9CF7E 1E12D1A0
293	Baltoy	DA0FE11C EE9DB041
294	Claydol	E6CFF4BB B544BF89
295	Nosepass	25978625 AFF27AF4
296	Torkoal	E1918FEA A96396E6
297	Sableye	E89BD86E 804D628F
298	Barboach	886D6202 2E7E60F4
299	Whiscash	ADF5576C 472EA94B
300	Luvdisc	DB372C5C 8F11559B
301	Corphish	7220A60B 1EACF3C5
302	Crawdaunt	1930111C 8F849437
303	Feebas	FD121BE8 EDBD7C2E
304	Milotic	7C41BD36 99E95084
